annotator,sentence_number,text,annotator_label,model_entities
dr_s,1,And where's Mr. Campbell?,l,
dr_s,2,Charlie asked.,l,
dr_s,3,Gone to Switzerland.,l,
dr_s,4,"Mr. Campbell's a pretty sick man, Mr. Wales.",l,
dr_s,5,I'm sorry to hear that.,l,
dr_s,6,And George Hardt?,l,
dr_s,7,Charlie inquired.,l,
dr_s,8,"Back in America, gone to work.",l,
dr_s,9,And where is the Snow Bird? He was in here last week.,m,
dr_s,10,"Anyway, his friend, Mr. Schaeffer, is in Paris.",l,
dr_s,11,Two familiar names from the long list of a year and a half ago.,l,
dr_s,12,Charlie scribbled an address in his notebook and tore out the page.,l,
dr_s,13,"If you see Mr. Schaeffer, give him this, he said.",l,
dr_s,14,It's my brother-in-law's address.,l,
dr_s,15,I haven't settled on a hotel yet.,l,
dr_s,16,He was not really disappointed to find Paris was so empty.,l,
dr_s,17,But the stillness in the Ritz bar was strange and portentous.,m,
dr_s,18,"It was not an American bar any more--he felt polite in it, and not as if he owned it.",l,
dr_s,19,It had gone back into France.,m,
dr_s,20,"He felt the stillness from the moment he got out of the taxi and saw the doorman, usually in a frenzy of activity at this hour, gossiping with a chasseur by the servants' entrance.",l,
dr_s,21,"Passing through the corridor, he heard only a single, bored voice in the once-clamorous women's room.",l,
dr_s,22,"When he turned into the bar he travelled the twenty feet of green carpet with his eyes fixed straight ahead by old habit; and then, with his foot firmly on the rail, he turned and surveyed the room, encountering only a single pair of eyes that fluttered up from a newspaper in the corner.",m,
dr_s,23,"Charlie asked for the head barman, Paul, who in the latter days of the bull market had come to work in his own custom-built car--disembarking, however, with due nicety at the nearest corner.",l,
dr_s,24,But Paul was at his country house today and Alix giving him information.,l,
dr_s,25,"No, no more, Charlie said, I'm going slow these days.",l,
dr_s,26,Alix congratulated him: You were going pretty strong a couple of years ago.,l,
dr_s,27,"I'll stick to it all right, Charlie assured him.",m,
dr_s,28,I've stuck to it for over a year and a half now.,m,
dr_s,29,How do you find conditions in America?,l,
dr_s,30,I haven't been to America for months.,l,
dr_s,31,"I'm in business in Prague, representing a couple of concerns there.",l,
dr_s,32,They don't know about me down there.,l,
dr_s,33,Alix smiled.,l,
dr_s,34,Remember the night of George Hardt's bachelor dinner here? said Charlie.,l,
dr_s,35,"By the way, what's become of Claude Fessenden?",l,
dr_s,36,"Alix lowered his voice confidentially: He's in Paris, but he doesn't come here any more.",m,
dr_s,37,Paul doesn't allow it.,l,
dr_s,38,"He ran up a bill of thirty thousand francs, charging all his drinks and his lunches, and usually his dinner, for more than a year.",m,
dr_s,39,"And when Paul finally told him he had to pay, he gave him a bad check.",l,
dr_s,40,Alix shook his head sadly.,l,
dr_s,41,"I don't understand it, such a dandy fellow.",l,
dr_s,42,Now he's all bloated up-- He made a plump apple of his hands.,m,
dr_s,43,Charlie watched a group of strident queens installing themselves in a corner.,l,
dr_s,44,"Nothing affects them, he thought.",l,
dr_s,45,"Stocks rise and fall, people loaf or work, but they go on forever.",m,
dr_s,46,The place oppressed him.,l,
dr_s,47,He called for the dice and shook with Alix for the drink.,l,
dr_s,48,"Here for long, Mr. Wales?",l,
dr_s,49,I'm here for four or five days to see my little girl.,l,
dr_s,50,Oh-h!,l,
dr_s,51,You have a little girl?,l,
dr_s,52,"Outside, the fire-red, gas-blue, ghost-green signs shone smokily through the tranquil rain.",m,
dr_s,53,It was late afternoon and the streets were in movement; the bistros gleamed.,m,
